unix,low,high,open,close,volume,date,vol_fiat
1618272000,1.4778,1.5298,1.4827,1.5027,2632298,2021-04-13,3955554.2046
1618185600,1.433,1.5965,1.5205,1.4832,29258377,2021-04-12,43396024.7664
1618099200,1.361,1.5442,1.3904,1.5199,29362679,2021-04-11,44628335.8121
1618012800,1.3555,1.4731,1.3933,1.3903,24263500,2021-04-10,33733544.050000004
1617926400,1.32,1.4269,1.3515,1.3933,23304281,2021-04-09,32469854.717299998
1617840000,1.2931,1.3871,1.303,1.3511,17086425,2021-04-08,23085468.8175
1617753600,1.251,1.4807,1.4,1.303,39136675,2021-04-07,50995087.525
1617667200,1.35,1.4879,1.401,1.3996,31038995,2021-04-06,43442177.401999995
1617580800,1.2726,1.431,1.3101,1.4012,25719799,2021-04-05,36038582.3588
1617494400,1.235,1.3491,1.2637,1.3096,18254439,2021-04-04,23906013.314400002
1617408000,1.2618,1.4698,1.3593,1.2642,35657766,2021-04-03,45078547.7772
1617321600,1.3,1.3688,1.3213,1.3593,20439200,2021-04-02,27783004.56
1617235200,1.29,1.399,1.3657,1.3213,23435450,2021-04-01,30965260.084999997
1617148800,1.2442,1.373,1.3246,1.3667,27787772,2021-03-31,37977547.9924
1617062400,1.3017,1.4299,1.4006,1.3253,40020047,2021-03-30,53038568.2891
1616976000,1.2166,1.45,1.2343,1.4016,66826770,2021-03-29,93664400.832
1616889600,1.1457,1.27,1.1589,1.2346,38034848,2021-03-28,46957823.340799995
1616803200,1.0908,1.2188,1.1185,1.1585,34787778,2021-03-27,40301640.813
1616716800,1.0372,1.1252,1.0429,1.1183,18672375,2021-03-26,20881316.962500002
1616630400,0.9772,1.0784,1.0271,1.043,38029532,2021-03-25,39664801.875999995
1616544000,0.9889,1.185,1.1117,1.0272,30556470,2021-03-24,31387605.983999997
1616457600,1.0629,1.1587,1.1041,1.1115,24373717,2021-03-23,27091386.445499998
1616371200,1.0778,1.2284,1.1806,1.1043,27147877,2021-03-22,29979400.5711
1616284800,1.1526,1.2365,1.2104,1.1801,21311129,2021-03-21,25149263.3329
1616198400,1.202,1.3142,1.2488,1.2096,23602299,2021-03-20,28549340.8704
1616112000,1.2117,1.3114,1.2579,1.2489,23018283,2021-03-19,28747533.638699997
1616025600,1.2385,1.383,1.2899,1.2568,49008977,2021-03-18,61594482.29359999
1615939200,1.155,1.2987,1.2022,1.2895,33940509,2021-03-17,43766286.355500005
1615852800,1.1201,1.2514,1.1938,1.2022,53053919,2021-03-16,63781421.421799995
1615766400,1.1118,1.349,1.1186,1.1965,99419195,2021-03-15,118955066.8175
1615680000,1.0874,1.1705,1.1392,1.1187,31902264,2021-03-14,35689062.7368
1615593600,1.0138,1.1717,1.0497,1.1379,43011462,2021-03-13,48942742.609799996
1615507200,1.0312,1.155,1.0853,1.0501,47537734,2021-03-12,49919374.473400004
1615420800,1.051,1.125,1.109,1.0849,35139310,2021-03-11,38122637.419
1615334400,1.0786,1.2324,1.181,1.1097,49188172,2021-03-10,54584114.468399994
1615248000,1.1168,1.185,1.156,1.1802,43409816,2021-03-09,51232264.8432
1615161600,1.0622,1.1678,1.1067,1.1565,39208625,2021-03-08,45344774.8125
1615075200,1.0509,1.1391,1.0515,1.1075,28525218,2021-03-07,31591678.935
1614988800,1.0015,1.0719,1.0543,1.0512,22484209,2021-03-06,23635400.5008
1614902400,1.005,1.0974,1.09,1.0535,46820288,2021-03-05,49325173.40800001
1614816000,1.05,1.25,1.1792,1.09,55820843,2021-03-04,60844718.870000005
1614729600,1.0577,1.2327,1.0838,1.1786,56254311,2021-03-03,66301330.94460001
1614643200,1.0385,1.1665,1.0902,1.0839,57176709,2021-03-02,61973834.88510001
1614556800,1.0066,1.1121,1.0242,1.0901,46133373,2021-03-01,50289989.9073
1614470400,0.9467,1.1341,1.1006,1.0237,65154103,2021-02-28,66698255.241100006
1614384000,0.9728,1.195,0.9733,1.1001,65656542,2021-02-27,72228761.8542
1614297600,0.9,1.0538,0.9815,0.9728,64710676,2021-02-26,62950545.6128
1614211200,0.9703,1.15,1.0614,0.9815,59726722,2021-02-25,58621777.643
