unix,low,high,open,close,volume,date,vol_fiat
1618272000,59799.01,61055.0,59836.88,60878.98,2233.81131009,2021-04-13,135992154.0707429
1618185600,59369.0,61199.0,59983.66,59839.82,11467.72752999,2021-04-12,686226751.2036462
1618099200,59177.06,60658.89,59778.59,59985.26,7278.96516665,2021-04-11,436630618.0524436
1618012800,57875.41,61218.97,58092.68,59778.6,12817.81106734,2021-04-10,766230800.6700909
1617926400,57670.51,58869.69,58083.1,58092.68,8094.74629652,2021-04-09,470245506.28492147
1617840000,55700.0,58152.0,55962.67,58083.1,8073.59731731,2021-04-08,468939560.3410485
1617753600,55400.0,58630.0,58021.67,55955.75,17787.29445084,2021-04-07,995301401.4675903
1617667200,57333.33,59475.0,59134.07,58019.98,10354.33014603,2021-04-06,600758027.9860578
1617580800,56817.64,59251.76,58216.73,59123.02,9204.86323941,2021-04-05,544219313.4009023
1617494400,56478.53,58500.0,57094.34,58215.94,6301.43187883,2021-04-04,366843780.1720545
1617408000,56943.0,59752.0,58981.04,57094.34,8405.26400491,2021-04-03,479893000.88609314
1617321600,58441.88,60055.02,58726.47,58981.04,10966.93017846,2021-04-02,646840947.5329564
1617235200,57930.0,59474.94,58800.01,58726.48,11096.33004907,2021-04-01,651648404.7001084
1617148800,56873.8,59800.0,58786.46,58800.0,17376.62672814,2021-03-31,1021745651.614632
1617062400,57000.0,59397.48,57613.76,58786.46,15105.07669026,2021-03-30,887973986.6489019
1616976000,54900.0,58400.0,55781.22,57613.48,17552.36885101,2021-03-29,1011253051.7502877
1616889600,54701.0,56587.08,55856.54,55778.82,9235.80302347,2021-03-28,515162194.4015889
1616803200,53966.0,56640.0,55080.9,55856.53,11333.33349523,2021-03-27,633040682.3763193
1616716800,51250.0,55125.13,51320.76,55072.44,17843.00738205,2021-03-26,982657953.4675057
1616630400,50305.0,53238.0,52259.69,51325.01,29642.04415588,2021-03-25,1521378212.7209828
1616544000,51673.82,57209.97,54333.27,52276.16,23775.21362623,2021-03-24,1242876871.5589797
1616457600,53000.0,55858.0,54111.49,54345.54,19221.75674,2021-03-23,1044616749.7839396
1616371200,53739.5,58421.68,57377.29,54110.07,19512.15647151,2021-03-22,1055804152.5243591
1616284800,55543.89,58651.22,58126.34,57363.32,11841.63877891,2021-03-21,679275714.5990236
1616198400,57827.97,59928.0,58026.91,58116.7,9725.28123717,2021-03-20,565201252.0762377
1616112000,56260.0,59461.99,57644.95,58039.66,16429.629743,2021-03-19,953570124.2096075
1616025600,56996.15,60100.0,58925.54,57644.95,21459.4962399,2021-03-18,1237031587.7742233
1615939200,54138.01,58996.38,56924.26,58925.54,22687.57433043,2021-03-17,1336877568.7107263
1615852800,53221.0,56970.0,55629.08,56927.11,24432.37878722,2021-03-16,1390864714.7817397
1615766400,54568.0,60601.07,58972.71,55636.15,31651.39184131,2021-03-15,1760961584.1918993
1615680000,58950.0,61680.0,61181.38,58972.7,13581.96759058,2021-03-14,800965300.1289971
1615593600,56083.74,61788.45,57220.84,61178.5,22301.28588901,2021-03-13,1364359218.7607982
1615507200,55050.0,58065.92,57820.15,57225.91,21760.53824103,2021-03-12,1245266602.9327412
1615420800,54283.0,58113.0,55888.7,57815.47,24369.21216789,2021-03-11,1408917455.0162792
1615334400,53025.0,57402.14,54921.61,55890.69,28326.07770941,2021-03-10,1583164028.1725445
1615248000,51845.01,54936.0,52413.17,54916.38,21177.14953983,2021-03-09,1162972391.4461293
1615161600,49328.62,52425.0,50976.22,52415.23,18856.28684439,2021-03-08,988356611.8946762
1615075200,48909.83,51459.0,48909.84,50978.61,13965.15473114,2021-03-07,711924176.628441
1614988800,47077.0,49210.0,48766.01,48909.84,11877.83755909,2021-03-06,580943134.5610824
1614902400,46219.32,49473.99,48370.97,48769.47,25468.18029576,2021-03-05,1242069654.8886585
1614816000,47502.0,51798.33,50370.33,48368.52,23386.97957577,2021-03-04,1131193589.3502228
1614729600,48161.75,52666.0,48502.18,50360.0,21301.47723933,2021-03-03,1072742393.7726588
1614643200,47075.11,50250.0,49635.3,48511.6,17063.56302004,2021-03-02,827780743.8029724
1614556800,45042.13,49829.0,45231.74,49639.4,25068.25043716,2021-03-01,1244372910.7503603
1614470400,43016.0,46656.0,46169.92,45231.75,22745.60600179,2021-02-28,1028823564.271465
1614384000,45055.0,48356.86,46319.79,46180.75,16290.28071728,2021-02-27,752297381.2345284
1614297600,44150.0,48464.64,47063.9,46326.2,36048.6181927,2021-02-26,1669995496.1186585
1614211200,46700.0,52107.83,49737.81,47058.48,28011.20414657,2021-02-25,1318164690.1072814
1614124800,47002.0,51415.41,48899.99,49737.82,30732.14949499,2021-02-24,1528550119.7949035
1614038400,44888.08,54206.22,54125.67,48899.99,72300.585728,2021-02-23,3535497919.093343
1613952000,46616.0,57577.69,57489.16,54142.13,49449.16575779,2021-02-22,2677283160.8498144
1613865600,55531.23,58367.0,55921.44,57489.16,13530.43444443,2021-02-21,777853310.6453475
1613779200,54000.1,57563.57,55983.57,55923.52,22137.82194494,2021-02-20,1238024928.2942908
1613692800,50725.0,56370.05,51596.0,55983.56,27961.48197104,2021-02-19,1565383303.6146362
1613606400,50875.0,52549.99,52170.01,51601.73,15689.40275173,2021-02-18,809600324.6560285
1613520000,48942.87,52640.35,49141.43,52170.01,25675.171441,2021-02-17,1339473950.8286843
1613433600,47051.22,50645.0,47935.66,49158.71,23053.20561135,2021-02-16,1133265849.2187274
1613347200,45768.46,49093.44,48667.23,47936.37,19432.15278111,2021-02-15,931506865.611818
1613260800,47100.13,49700.0,47240.75,48680.69,15146.55244091,2021-02-14,737344623.9446831
1613174400,46300.0,48199.0,47408.34,47232.45,12020.8773325,2021-02-13,567775487.5634396
1613088000,46300.0,48912.0,47993.6,47408.34,23503.15583529,2021-02-12,1114245602.9124122
1613001600,44011.0,48690.0,44850.0,47997.91,26222.60477552,2021-02-11,1258630223.9809794
1612915200,43706.86,47349.99,46514.73,44850.0,25818.01157857,2021-02-10,1157937819.2988646
1612828800,45020.0,48200.0,46453.66,46514.73,36418.79365116,2021-02-09,1694010353.6094217
1612742400,38057.01,46750.0,38871.43,46448.1,47934.0103883,2021-02-08,2226443707.916797
1612656000,37371.35,39737.83,39266.1,38871.42,20297.87256102,2021-02-07,789007129.4258841
1612569600,38250.0,41000.0,38327.09,39265.43,27102.80602941,2021-02-06,1064203332.9513763
1612483200,36605.87,38349.0,36976.59,38311.49,17842.70173175,2021-02-05,683580488.9689227
1612396800,36156.45,38769.0,37688.42,36975.0,31699.36292316,2021-02-04,1172083944.0838408
1612310400,35393.8,37723.72,35513.0,37678.37,23781.96945181,2021-02-03,896065844.3339944
1612224000,33450.0,36000.0,33534.39,35512.67,19995.83908338,2021-02-02,710105634.7411764
1612137600,32333.0,34728.57,33137.75,33533.19,21975.41378272,2021-02-01,736905725.7045685
1612051200,32200.0,34387.75,34315.63,33137.74,16436.39757593,2021-01-31,544665069.4077986
1611964800,32852.86,34900.0,34262.11,34315.63,21362.15173754,2021-01-30,733055695.0292797
1611878400,31990.0,38570.13,33487.92,34262.11,72641.07974951,2021-01-29,2488836664.896484
1611792000,29902.14,34000.0,30414.11,33488.99,36007.06269488,2021-01-28,1205840162.5182092
1611705600,29156.0,32584.62,32510.82,30407.13,46207.08537355,2021-01-27,1405024851.8746333
