unix,low,high,open,close,volume,date,vol_fiat
1618272000,461.7,471.75,463.81,461.7,3551.894,2021-04-13,1639909.4597999998
1618185600,435.0,470.93,458.68,463.76,34776.112,2021-04-12,16127769.70112
1618099200,438.03,462.02,451.03,458.22,25773.839,2021-04-11,11810088.50658
1618012800,435.0,461.12,454.09,450.82,30939.221,2021-04-10,13948019.61122
1617926400,447.0,467.58,455.94,453.68,35289.243,2021-04-09,16010023.76424
1617840000,437.67,477.58,441.57,456.06,28555.125,2021-04-08,13022850.3075
1617753600,435.07,495.0,482.11,441.66,49256.134,2021-04-07,21754464.14244
1617667200,475.77,526.48,512.97,482.06,35051.908,2021-04-06,16897122.770480003
1617580800,503.06,555.82,548.17,512.44,43299.909,2021-04-05,22188605.367960002
1617494400,470.58,562.65,479.0,548.11,44164.954,2021-04-04,24207252.93694
1617408000,464.74,499.96,486.28,479.14,23235.202,2021-04-03,11132914.686280001
1617321600,445.7,492.18,450.06,486.04,17799.07,2021-04-02,8651059.9828
1617235200,399.39,464.0,399.4,450.11,48741.582,2021-04-01,21939073.47402
1617148800,382.24,405.06,402.4,399.23,11008.495,2021-03-31,4394921.458850001
1617062400,398.79,422.05,409.93,402.4,16784.576,2021-03-30,6754113.3824
1616976000,357.39,410.75,362.03,409.98,28755.94,2021-03-29,11789360.2812
1616889600,355.29,372.45,363.13,361.81,11368.213,2021-03-28,4113133.14553
1616803200,350.99,373.76,369.36,363.17,37527.626,2021-03-27,13628907.934419999
1616716800,360.4,378.52,360.61,369.52,37819.344,2021-03-26,13975003.994879998
1616630400,330.26,369.13,345.13,360.62,29231.368,2021-03-25,10541415.928159999
1616544000,333.39,386.94,359.42,344.71,19770.543,2021-03-24,6815103.87753
1616457600,359.4,394.87,379.02,359.4,18425.284,2021-03-23,6622047.069599999
1616371200,373.86,423.04,403.73,378.63,41945.36,2021-03-22,15881771.6568
1616284800,400.12,428.5,412.21,403.66,40554.898,2021-03-21,16370390.126680002
1616198400,409.97,446.85,443.32,412.21,38991.966,2021-03-20,16072878.30486
1616112000,421.0,444.46,429.03,443.26,9588.452,2021-03-19,4250177.233519999
1616025600,428.61,451.56,435.94,428.69,16393.093,2021-03-18,7027555.038170001
1615939200,419.31,440.0,432.06,435.48,9624.807,2021-03-17,4191410.9523600005
1615852800,416.72,442.41,431.78,431.8,7476.839,2021-03-16,3228499.0802
1615766400,420.0,451.64,438.26,431.65,9802.609,2021-03-15,4231296.17485
1615680000,435.61,470.0,465.49,438.0,8375.106,2021-03-14,3668296.428
1615593600,412.82,468.86,433.58,465.15,23060.37,2021-03-13,10726531.1055
1615507200,427.62,468.03,465.33,433.58,18444.193,2021-03-12,7997033.200939999
1615420800,450.25,478.02,461.28,465.33,14649.148,2021-03-11,6816688.03884
1615334400,449.78,505.1,501.54,461.64,22971.217,2021-03-10,10604432.61588
1615248000,470.6,504.5,477.14,501.77,19806.216,2021-03-09,9938165.002319999
1615161600,462.32,491.45,490.98,477.0,18470.848,2021-03-08,8810594.496000001
1615075200,470.0,495.7,492.47,490.99,12427.779,2021-03-07,6101915.21121
1614988800,468.3,514.07,475.55,491.66,19469.231,2021-03-06,9572242.11346
1614902400,443.99,485.0,469.85,475.46,13161.733,2021-03-05,6257877.57218
1614816000,455.42,502.97,492.0,469.7,19705.912,2021-03-04,9255866.8664
1614729600,489.0,517.77,500.0,492.0,20295.702,2021-03-03,9985485.384000001
1614643200,478.67,535.87,494.12,500.0,56129.996,2021-03-02,28064998.0
1614556800,405.55,500.0,405.67,494.08,56137.541,2021-03-01,27736436.25728
1614470400,347.65,410.6,399.68,406.11,29339.552,2021-02-28,11915085.462720001
1614384000,390.0,432.03,398.23,399.58,17308.573,2021-02-27,6916159.59934
1614297600,370.03,423.0,397.11,397.68,32151.18,2021-02-26,12785881.2624
1614211200,392.2,459.0,437.73,396.22,20803.356,2021-02-25,8242705.71432
1614124800,366.73,461.27,384.35,438.11,53727.557,2021-02-24,23538579.99727
1614038400,325.0,430.83,423.48,384.0,77563.521,2021-02-23,29784392.063999996
1613952000,375.0,470.0,453.79,422.65,70754.478,2021-02-22,29904380.1267
1613865600,442.7,469.82,453.6,453.6,17772.557,2021-02-21,8061631.855200001
1613779200,430.0,506.64,451.62,453.66,51118.074,2021-02-20,23190225.45084
1613692800,435.71,481.4,457.45,451.46,24379.747,2021-02-19,11006480.58062
1613606400,451.01,481.73,474.67,456.77,18457.886,2021-02-18,8431008.588219998
1613520000,413.11,475.0,457.24,474.27,30129.203,2021-02-17,14289377.10681
1613433600,435.48,506.07,461.4,457.22,27894.955,2021-02-16,12754131.325100001
1613347200,400.0,506.26,471.84,461.35,59944.846,2021-02-15,27655554.7021
1613260800,460.8,529.89,511.76,471.44,33336.278,2021-02-14,15716054.90032
1613174400,498.27,558.9,538.14,511.68,32744.385,2021-02-13,16754646.9168
1613088000,480.91,573.34,502.24,537.87,66706.059,2021-02-12,35879187.95433
1613001600,456.0,525.69,473.2,501.77,53736.725,2021-02-11,26963476.50325
1612915200,442.07,528.41,489.65,473.03,59464.981,2021-02-10,28128719.962429997
1612828800,436.2,490.0,455.19,490.0,49952.625,2021-02-09,24476786.25
1612742400,442.4,497.89,458.35,455.2,51264.275,2021-02-08,23335497.98
1612656000,393.04,479.77,465.29,458.3,48855.438,2021-02-07,22390447.235400002
1612569600,440.68,550.0,532.25,464.99,78138.731,2021-02-06,36333728.52769
1612483200,453.39,554.32,455.17,532.75,80256.848,2021-02-05,42756835.772
1612396800,380.5,499.37,389.75,455.17,163711.487,2021-02-04,74516557.53779
1612310400,343.0,390.0,356.48,389.94,43189.151,2021-02-03,16841177.540939998
1612224000,336.12,365.17,361.81,356.48,35541.65,2021-02-02,12669887.392
1612137600,330.67,377.1,347.35,362.01,79055.319,2021-02-01,28618816.03119
1612051200,305.05,349.49,338.22,347.35,70300.689,2021-01-31,24418944.32415
1611964800,278.76,340.01,295.54,338.27,134130.38,2021-01-30,45372283.6426
1611878400,236.11,304.18,252.43,295.55,81623.606,2021-01-29,24123856.7533
1611792000,212.64,268.75,219.11,252.36,43056.346,2021-01-28,10865699.47656
1611705600,210.04,240.34,238.74,219.11,42933.909,2021-01-27,9407248.80099
1611619200,205.44,242.55,212.43,238.64,60177.761,2021-01-26,14360820.885039998
1611532800,206.02,259.0,250.54,212.72,78845.474,2021-01-25,16772009.22928
1611446400,205.48,253.0,206.82,250.53,61434.557,2021-01-24,15391199.56521
1611360000,197.0,213.62,199.54,206.83,16744.234,2021-01-23,3463209.9182200003
1611273600,165.0,209.14,176.55,199.4,32447.499,2021-01-22,6470031.3006
1611187200,174.25,214.0,212.97,176.23,36064.696,2021-01-21,6355681.37608
1611100800,198.64,218.28,211.5,212.98,18159.436,2021-01-20,3867596.6792800003
1611014400,210.06,235.19,225.86,211.35,24630.227,2021-01-19,5205598.47645
