unix,low,high,open,close,volume,date,vol_fiat
1618272000,2.0,2.0792,2.0147,2.0001,3403913.24,2021-04-13,6808166.871324001
1618185600,1.8785,2.148,1.8953,2.0133,43756901.71,2021-04-12,88095770.212743
1618099200,1.7938,1.9027,1.8875,1.8975,12068071.73,2021-04-11,22899166.107675
1618012800,1.7111,1.9177,1.7388,1.8882,20229722.37,2021-04-10,38197761.779034
1617926400,1.714,1.815,1.7497,1.7389,10442275.17,2021-04-09,18158072.293112997
1617840000,1.6394,1.755,1.6553,1.7491,8041010.45,2021-04-08,14064531.378095001
1617753600,1.53,1.7689,1.7653,1.655,21442990.6,2021-04-07,35488149.443
1617667200,1.728,1.88,1.8299,1.7648,15648789.17,2021-04-06,27616983.127216
1617580800,1.69,1.8495,1.7618,1.8278,19263836.4,2021-04-05,35210440.17192
1617494400,1.6537,1.7726,1.6801,1.7586,8616359.69,2021-04-04,15152730.150833998
1617408000,1.6757,1.974,1.8864,1.6805,21123754.07,2021-04-03,35498468.714635
1617321600,1.7308,1.95,1.7734,1.8873,22940671.32,2021-04-02,43295928.982236
1617235200,1.6826,1.8497,1.7188,1.7733,21892983.35,2021-04-01,38822827.37455501
1617148800,1.6456,1.7943,1.7617,1.7199,20461452.72,2021-03-31,35191652.533128
1617062400,1.7251,1.8921,1.7715,1.7618,28382613.8,2021-03-30,50004488.99284
1616976000,1.6869,1.85,1.8151,1.7706,30578113.9,2021-03-29,54141608.47133999
1616889600,1.459,1.82,1.4664,1.8151,42105144.83,2021-03-28,76425048.38093299
1616803200,1.4561,1.5875,1.5558,1.4674,20067907.06,2021-03-27,29447646.819844
1616716800,1.3385,1.5645,1.3399,1.555,21122995.88,2021-03-26,32846258.593399998
1616630400,1.3117,1.4199,1.3923,1.3404,31380860.99,2021-03-25,42062906.070996
1616544000,1.3208,1.5911,1.5031,1.3913,23629684.34,2021-03-24,32875979.822242
1616457600,1.4934,1.5976,1.5447,1.5031,19530468.71,2021-03-23,29356247.518001005
1616371200,1.5,1.7105,1.6994,1.545,22733551.71,2021-03-22,35123337.39195
1616284800,1.6522,1.7569,1.7216,1.7,15176468.82,2021-03-21,25799996.994
1616198400,1.6825,1.8787,1.69,1.721,24434359.59,2021-03-20,42051532.85439
1616112000,1.655,1.7395,1.6923,1.6901,16892670.15,2021-03-19,28550301.820514996
1616025600,1.6789,1.792,1.7181,1.692,25126583.24,2021-03-18,42514178.84208
1615939200,1.65,1.7554,1.713,1.7191,16629597.79,2021-03-17,28587941.560789
1615852800,1.5986,1.789,1.7197,1.7134,23287308.79,2021-03-16,39900474.880786
1615766400,1.6813,1.87,1.7327,1.7168,24545171.66,2021-03-15,42139150.705888
1615680000,1.7086,1.8396,1.7921,1.7312,20584761.9,2021-03-14,35636339.80128
1615593600,1.653,1.8929,1.7343,1.7934,34418146.53,2021-03-13,61725503.986902006
1615507200,1.6527,1.9294,1.9093,1.736,43231148.79,2021-03-12,75049274.29944
1615420800,1.858,2.11,2.0359,1.9107,30320275.63,2021-03-11,57932950.646241
1615334400,1.952,2.1511,2.1184,2.0296,34538060.08,2021-03-10,70098446.73836799
1615248000,1.881,2.2074,1.9065,2.1202,51190222.11,2021-03-09,108533508.917622
